Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDY24,OUT017,986.7867
FDH19,OUT049,2858.6135
FDJ46,OUT013,2991.76
FDN45,OUT010,716.0301
FDY08,OUT035,2119.901
FDZ37,OUT035,1423.1768
NCT30,OUT045,777.71405
DRY23,OUT018,616.4505
NCZ30,OUT018,1772.7097
FDC44,OUT018,1680.9928
FDB45,OUT035,1684.0275
FDY04,OUT013,2595.0305
FDM27,OUT046,2557.4902
FDZ43,OUT017,4046.7224
FDT39,OUT019,428.67532
NCC06,OUT019,323.46063
FDL15,OUT027,3882.8582
FDL57,OUT017,4486.281
FDU08,OUT046,1593.3071
FDK40,OUT017,4284.79
FDQ12,OUT010,699.50183
FDS48,OUT017,2606.1638
FDP09,OUT045,3576.308
FDW21,OUT049,1774.4489
FDY25,OUT035,3056.4312
DRE13,OUT017,1440.0809
FDV43,OUT019,221.08678
FDD22,OUT045,1745.6692
FDM46,OUT019,330.6027
NCO30,OUT010,545.33154
FDM25,OUT046,2836.3318
NCN41,OUT049,2200.1472
FDU24,OUT045,1476.3198
FDZ50,OUT046,3119.5942
FDP45,OUT013,4306.538
NCM54,OUT045,2170.8428
FDW10,OUT019,502.12405
FDP20,OUT017,2157.0833
FDK32,OUT046,2503.0342
FDN52,OUT049,1360.1676
FDM58,OUT045,1748.696
FDZ46,OUT027,3013.298
NCA18,OUT018,1669.4219
FDD35,OUT046,2091.9321
NCK31,OUT035,788.6942
FDI40,OUT027,2822.2173
FDT50,OUT019,296.8463
NCT06,OUT046,2640.538
FDT31,OUT035,3171.432
FDT45,OUT049,881.0989
FDT13,OUT045,3150.3914
FDO50,OUT045,1443.4032
NCU18,OUT010,386.72354
NCR54,OUT049,3151.4988
NCO18,OUT018,2643.6072
FDU09,OUT045,893.6152
FDT13,OUT018,2649.0535
FDE09,OUT046,1763.1794
NCK53,OUT019,300.92676
FDG45,OUT049,3739.0618
DRH15,OUT035,734.6171
FDO21,OUT019,597.7115
FDD14,OUT027,5102.7925
FDC09,OUT046,1660.899
FDH45,OUT027,1016.9384
FDV32,OUT046,997.37213
FDG12,OUT035,1967.5537
FDS32,OUT013,2213.0994
NCL55,OUT018,3387.2856
DRE01,OUT035,3871.822
DRE15,OUT049,1268.0365
NCL42,OUT045,3804.3682
FDP31,OUT013,958.4987
FDN33,OUT018,1279.7659
FDZ59,OUT046,2615.9944
FDE45,OUT010,561.33154
FDJ07,OUT013,1914.7582
FDQ45,OUT018,2630.8801
FDM33,OUT027,5270.9204
FDO15,OUT010,334.22806
FDM46,OUT013,1422.005
FDR03,OUT045,3529.8528
FDY49,OUT018,2428.4055
FDQ60,OUT045,1919.099
FDW10,OUT049,2580.9336
FDO51,OUT049,728.2643
FDJ40,OUT018,1502.9912
FDS20,OUT018,2949.1868
FDU45,OUT013,1859.5553
FDV02,OUT035,2834.8872
FDN09,OUT046,3788.5547
NCM55,OUT027,5219.067
FDN23,OUT018,2151.865
FDY31,OUT010,507.58768
FDW03,OUT010,456.7909
FDD14,OUT046,2917.434
FDV23,OUT017,2093.1245
DRI03,OUT045,2796.6335
FDN13,OUT035,1608.6187
FDF45,OUT027,1834.9551
FDU46,OUT035,1432.8308
FDB57,OUT049,3663.1433
FDV12,OUT049,1674.7247
FDQ58,OUT013,2348.7192
NCA18,OUT017,1926.4636
FDH52,OUT049,975.96265
FDM24,OUT018,2136.6353
NCP43,OUT027,4767.111
NCO18,OUT019,512.1485
FDM32,OUT017,1464.2269
NCL07,OUT017,696.1703
FDK03,OUT013,4253.8364
FDP59,OUT017,1625.011
FDQ24,OUT049,4294.993
FDQ16,OUT018,1554.0258
FDU44,OUT013,2664.0781
FDH28,OUT010,205.28418
FDV28,OUT019,193.21362
FDM22,OUT045,898.6657
FDR56,OUT046,3052.1294
FDV39,OUT049,3244.3726
FDU37,OUT019,368.27225
FDQ11,OUT010,816.45404
FDX02,OUT045,3593.8652
NCS42,OUT018,1242.1033
FDY57,OUT027,2713.8982
FDB21,OUT049,4169.4185
FDE28,OUT017,3793.8926
FDQ55,OUT017,1975.42
FDA48,OUT049,3716.356
FDZ19,OUT045,2733.699
NCC43,OUT045,3702.3992
NCV18,OUT046,1353.4504
NCA42,OUT018,2334.9856
FDY45,OUT046,3854.5322
NCC30,OUT045,2840.562
FDM57,OUT013,1360.9415
FDL09,OUT010,497.0388
FDB09,OUT027,3505.0435
FDT44,OUT035,1973.1786
NCT06,OUT027,4023.6912
FDX26,OUT049,3268.6821
FDK32,OUT013,2514.7356
DRA12,OUT046,2088.1736
FDO46,OUT010,619.1303
FDE52,OUT013,1350.8951
NCH42,OUT045,3730.3113
FDV08,OUT035,728.3203
FDB47,OUT018,3086.861
FDC28,OUT010,332.04153
FDD22,OUT046,1913.5463
FDS07,OUT027,3233.0305
DRI13,OUT045,3450.6692
FDG32,OUT018,3193.136
FDU14,OUT017,4024.453
FDD28,OUT019,275.79105
NCP41,OUT017,1790.0728
FDS08,OUT049,2852.8367
FDX47,OUT045,2491.9507
FDC53,OUT019,300.77643
FDQ19,OUT035,4044.4407
FDL14,OUT045,2401.173
FDM33,OUT019,546.49756
FDA51,OUT045,1888.5796
FDZ27,OUT018,666.26276
FDT04,OUT046,686.90515
DRC13,OUT049,2121.743
FDR16,OUT027,5411.4336
FDQ03,OUT027,6465.268
FDE38,OUT035,2728.4458
DRH23,OUT027,1690.2461
FDT11,OUT019,565.88947
FDD09,OUT035,3098.417
FDR40,OUT045,1345.973
FDX07,OUT017,3274.7854
FDR07,OUT035,1518.2606
FDA51,OUT017,1910.1309
FDT59,OUT019,633.8006
FDF20,OUT017,3221.9524
FDR13,OUT045,1929.6578
FDY26,OUT049,3459.8496
FDW04,OUT017,2105.7302
FDK52,OUT017,3991.7703
FDN60,OUT049,2713.4946
FDM09,OUT019,542.40454
FDP46,OUT049,1389.5145
FDB50,OUT019,369.49832
NCQ29,OUT049,4203.3135
FDP16,OUT027,6471.6553
FDX33,OUT018,2378.504
FDP07,OUT010,604.9023
FDN22,OUT046,3649.7021
FDF39,OUT049,4489.8774
FDS21,OUT017,988.1476
NCM42,OUT013,1667.5314
FDK50,OUT019,486.70425
DRF13,OUT027,3808.6887
FDH35,OUT018,2362.9192
FDP60,OUT018,1499.9954
DRJ49,OUT027,2993.1423
NCT42,OUT019,407.92468
FDE38,OUT049,2826.289
FDI04,OUT049,3258.0222
NCH54,OUT045,2645.998
FDT56,OUT049,895.9105
DRD15,OUT018,3184.3193
FDV58,OUT013,2755.4258
FDP21,OUT049,3239.058
FDH05,OUT013,3818.3328
FDR10,OUT027,4025.5413
NCP06,OUT045,2277.976
FDF33,OUT049,1671.019
DRK37,OUT013,3071.3713
DRH49,OUT045,1359.1208
FDT58,OUT013,2862.1626
FDD41,OUT018,1493.6716
FDP40,OUT018,1602.8408
FDM51,OUT027,2663.2964
FDO45,OUT010,347.48434
FDW33,OUT010,317.47552
FDY24,OUT045,980.5398
FDB10,OUT010,669.9266
FDM40,OUT035,2107.3047
NCI06,OUT017,3036.3623
FDW12,OUT019,337.39777
FDX48,OUT027,4062.7231
NCW05,OUT027,2678.9788
FDX27,OUT017,1464.191
DRM37,OUT045,3100.4795
FDA38,OUT045,3765.9524
FDR36,OUT046,698.50226
FDZ45,OUT046,3045.0356
FDG05,OUT017,2618.3752
FDK28,OUT013,3926.913
FDV47,OUT045,1385.2593
FDN21,OUT045,2583.4675
FDP20,OUT027,3509.1445
FDI35,OUT045,3073.213
DRY23,OUT013,721.53766
FDA56,OUT017,2130.4304
FDB09,OUT013,2224.2783
NCO26,OUT027,3000.105
FDQ49,OUT018,2238.2766
FDI52,OUT027,3070.3254
FDZ44,OUT027,3085.4368
FDZ09,OUT018,2409.7249
FDY03,OUT049,1977.965
NCG42,OUT017,2164.7563
DRI13,OUT027,5730.459
FDQ32,OUT013,2234.53
FDW16,OUT035,1409.6873
FDU27,OUT046,734.8023
FDR28,OUT010,543.06177
FDQ49,OUT010,474.34723
FDS37,OUT046,1917.8922
FDW26,OUT018,3187.268
FDX12,OUT018,3295.4487
NCP06,OUT013,2270.8777
FDW45,OUT010,519.15485
NCN30,OUT049,1516.3467
FDN24,OUT049,885.96704
NCL41,OUT027,1089.6487
FDR02,OUT019,290.98972
FDD09,OUT010,601.2244
FDS33,OUT010,377.34732
FDU22,OUT045,1950.6981
FDI53,OUT013,2606.3806
DRH01,OUT049,2989.443
FDX32,OUT013,2290.102
NCP30,OUT018,610.2368
FDB60,OUT045,3139.1843
FDB14,OUT049,1468.0818
NCP02,OUT035,904.71277
FDJ10,OUT017,2178.9448
FDG34,OUT046,1720.3275
NCB18,OUT017,1419.352
FDM16,OUT049,1171.4565
FDW25,OUT018,1148.5713
FDB35,OUT010,362.9994
DRN11,OUT013,2166.1348
FDF41,OUT019,598.99615
FDH16,OUT045,1400.333
NCQ50,OUT018,2987.3335
DRH23,OUT018,738.4035
DRJ37,OUT013,2448.048
DRJ24,OUT027,5269.16
FDY16,OUT035,3154.0466
FDQ27,OUT045,1833.4221
FDZ33,OUT045,2366.4763
FDF29,OUT045,2174.874
FDA08,OUT049,2759.4316
FDG31,OUT046,994.4348
FDE34,OUT019,673.31116
NCR30,OUT027,2011.5394
FDV33,OUT035,4339.438
DRZ24,OUT018,1697.0913
NCL54,OUT035,2934.1855
FDR12,OUT049,3030.722
NCC54,OUT046,3763.872
DRN59,OUT013,742.8207
FDX50,OUT019,304.78046
FDV31,OUT027,4958.021
NCA29,OUT027,4605.2417
FDW60,OUT049,2968.3171
FDX08,OUT017,3507.739
DRD49,OUT013,3934.1467
FDD33,OUT046,3562.226
FDW35,OUT013,730.4247
FDJ36,OUT017,1666.0618
FDV51,OUT035,2878.9104
FDW36,OUT046,1678.1097
FDH35,OUT046,2609.0818
NCS30,OUT027,3297.5288
FDN49,OUT017,673.6258
FDL08,OUT018,3383.918
FDI09,OUT013,3710.3738
FDP19,OUT018,1778.0137
FDU21,OUT010,189.19661
NCP41,OUT045,1706.9944
FDY10,OUT013,1824.686
FDP12,OUT018,563.7226
NCN26,OUT049,1964.9857
FDK44,OUT013,2865.5913
FDC28,OUT049,1655.9321
FDJ41,OUT027,6109.3433
NCT29,OUT035,2111.2927
NCH42,OUT019,567.79913
FDU60,OUT018,2376.8918
FDS02,OUT045,3125.6318
FDC51,OUT046,2075.7168
FDU03,OUT013,3108.1848
FDX39,OUT045,3591.0894
NCY05,OUT010,210.61346
NCL06,OUT027,6571.4434
FDD32,OUT035,1290.1832
NCN41,OUT045,2128.4958
NCX53,OUT049,2228.3906
FDU57,OUT019,413.88544
FDQ23,OUT046,1682.0333
FDQ52,OUT045,4067.112
FDC14,OUT045,688.8082
FDY09,OUT035,2999.6768
FDQ28,OUT045,2533.6243
FDV25,OUT046,3589.9153
FDJ07,OUT035,1950.0468
DRB25,OUT049,1681.9423
FDK52,OUT019,599.6435
FDY52,OUT027,1759.0831
FDB28,OUT046,3141.9973
FDT36,OUT035,667.7254
FDV25,OUT017,3622.4812
NCN07,OUT027,3444.9219
FDC57,OUT017,3188.253
FDQ03,OUT018,3269.242
FDU23,OUT017,3040.9062
NCX41,OUT035,3728.5469
NCD06,OUT035,786.5981
FDW08,OUT045,1660.4208
NCU29,OUT017,2430.0615
NCE06,OUT013,2495.0754
FDV52,OUT010,340.86133
FDB02,OUT017,2955.1333
NCR18,OUT045,706.77893
FDK16,OUT049,1493.4525
NCQ29,OUT010,699.095
FDZ01,OUT019,321.3675
FDW27,OUT035,2448.4814
FDD17,OUT018,3410.11
FDW39,OUT013,2873.1355
DRH59,OUT045,1060.9697
FDS52,OUT013,1607.4965
FDU40,OUT027,5216.2344
NCF54,OUT013,2800.6548
FDH46,OUT045,1663.0989
NCP14,OUT049,1673.7238
FDH50,OUT049,3241.6968
DRF15,OUT010,402.78796
FDV27,OUT027,2292.2012
NCJ06,OUT049,2161.3887
FDN02,OUT018,3113.7769
FDQ51,OUT049,771.43726
FDQ07,OUT017,3696.6753
FDS45,OUT049,1835.2504
NCJ06,OUT045,2126.5542
FDD36,OUT035,1974.6293
FDY25,OUT045,3346.6875
FDU52,OUT046,2321.2505
DRK47,OUT017,3886.982
NCL30,OUT017,2204.8345
FDN22,OUT035,3797.5076
NCF30,OUT027,3312.9011
FDK03,OUT035,4053.6794
FDT45,OUT017,910.5882
NCC54,OUT027,6310.275
FDP08,OUT018,2880.8506
FDU44,OUT046,2637.2417
DRG39,OUT035,880.901
FDU32,OUT049,2148.539
FDY27,OUT049,2893.753
NCP54,OUT013,2198.2808
NCZ41,OUT049,2137.7046
DRL49,OUT013,2206.337
FDI05,OUT018,951.71533
FDY56,OUT045,3796.2766
DRC13,OUT013,2120.642
NCV29,OUT017,3129.9282
FDR24,OUT049,1383.4927
FDZ34,OUT018,2776.9373
FDP37,OUT035,2142.4673
FDX08,OUT027,5045.683
FDS57,OUT045,2187.188
NCG18,OUT049,1676.4326
FDK25,OUT018,2600.3857
FDH53,OUT049,1325.808
DRI59,OUT018,3219.7468
FDA52,OUT046,2642.7996
FDT20,OUT010,216.63568
FDE36,OUT019,484.1825
FDI24,OUT017,2903.929
FDB28,OUT018,3097.273
FDV11,OUT017,2807.9944
FDP01,OUT046,2281.253
FDD34,OUT027,3975.6587
FDJ50,OUT027,1410.4817
FDZ44,OUT013,1922.3927
DRO59,OUT035,1292.1193
DRB48,OUT045,695.7886
FDR21,OUT018,2614.2812
NCE42,OUT010,796.848
FDO23,OUT046,1425.6693
NCE30,OUT018,3020.875
FDQ22,OUT035,667.4368
FDY01,OUT045,1919.414
FDS08,OUT017,2753.1458
FDG28,OUT018,3328.1226
FDQ51,OUT018,661.13715
FDB05,OUT017,3818.3813
FDO56,OUT049,1953.295
FDE02,OUT018,1241.6682
FDN45,OUT017,3655.2363
FDS09,OUT013,754.27155
NCA54,OUT018,2726.8887
FDP09,OUT010,793.38916
FDC53,OUT045,1620.9553
NCM55,OUT017,3245.368
FDL09,OUT018,2472.4187
FDA11,OUT019,328.25925
FDA50,OUT045,1492.3647
FDC23,OUT017,3069.8477
FDE22,OUT049,2661.051
FDD23,OUT046,3130.5515
NCA29,OUT049,3070.2156
FDK38,OUT046,2293.5354
DRC13,OUT046,2053.7412
NCP43,OUT049,2868.4363
FDX28,OUT049,1618.566
FDF08,OUT049,1412.6776
FDZ33,OUT046,2340.8777
FDD10,OUT049,2629.86
FDO58,OUT017,2648.0923
FDI50,OUT017,4083.6187
FDO58,OUT045,2599.2266
FDX08,OUT013,3047.109
NCK17,OUT010,228.53577
FDF39,OUT035,4500.5806
FDU45,OUT010,374.45496
NCJ18,OUT018,1665.5173
DRC27,OUT019,543.0204
DRC25,OUT035,1461.5896
FDU59,OUT035,2463.444
FDU28,OUT035,3230.6084
NCP30,OUT046,706.77637
FDB39,OUT018,754.1489
FDE41,OUT013,1353.3497
DRH11,OUT010,277.364
FDA58,OUT045,3717.817
FDU50,OUT046,1880.6202
FDM34,OUT013,2200.388
FDM44,OUT027,2642.1812
FDR39,OUT045,3018.347
FDM25,OUT045,2893.6804
FDQ49,OUT049,2430.1772
DRH25,OUT018,717.03564
FDM09,OUT027,4244.361
FDL44,OUT019,506.46716
NCR42,OUT018,567.7595
DRL59,OUT046,840.2398
FDX43,OUT013,2713.1558
DRK47,OUT010,687.787
FDU48,OUT018,1730.462
FDY12,OUT045,772.48
NCN43,OUT018,1760.6342
NCM55,OUT018,2719.8733
FDQ21,OUT027,3179.1567
FDX13,OUT035,4201.953
NCK30,OUT027,6039.9697
FDG20,OUT049,2972.8857
DRG27,OUT017,710.27045
FDY14,OUT018,3565.9412
FDP59,OUT035,1626.5859
FDU60,OUT017,2883.7424
NCC18,OUT019,522.59784
DRJ39,OUT017,3591.571
FDS07,OUT049,1976.382
FDM08,OUT027,5833.7246
FDP51,OUT045,2069.8723
FDU16,OUT035,1322.3545
FDH12,OUT013,1691.4099
DRE48,OUT010,598.53046
NCL42,OUT027,6589.2627
FDR21,OUT045,2724.119
NCW29,OUT035,2194.4558
FDO11,OUT013,4567.5254
NCM31,OUT049,2142.0308
FDV35,OUT019,410.21298
FDF58,OUT017,1023.76874
NCE43,OUT049,2990.6362
FDA02,OUT035,2454.08
DRL37,OUT010,234.65794
FDR24,OUT018,1176.3885
FDW59,OUT049,1322.8553
FDS22,OUT049,725.9575
FDW24,OUT017,790.37866
FDU24,OUT035,1558.2218
FDA21,OUT027,5042.1357
FDH58,OUT027,3088.9397
FDW36,OUT018,1512.2716
FDI45,OUT027,4674.7764
FDU01,OUT018,2685.9292
FDF35,OUT027,2696.6135
FDU43,OUT019,585.1534
FDE24,OUT019,404.8968
